Item name,Mod name,Cost,Total Emerald,Chance
Finnhood,Simplehats,20 x Emerald,20,0.06%
Flies,Simplehats,20 x Emerald,20,0.06%
Frozenhead,Simplehats,20 x Emerald,20,0.06%
Fullironhelm,Simplehats,20 x Emerald,20,0.06%
Grinchhat,Simplehats,20 x Emerald,20,0.06%
Headbolts,Simplehats,20 x Emerald,20,0.06%
Icedragonskull,Simplehats,20 x Emerald,20,0.06%
Jesterhat,Simplehats,20 x Emerald,20,0.06%
Longfoxears,Simplehats,20 x Emerald,20,0.06%
Megamanhat,Simplehats,20 x Emerald,20,0.06%
Monkeyking,Simplehats,20 x Emerald,20,0.06%
Monocle,Simplehats,20 x Emerald,20,0.06%
Moreeyes,Simplehats,20 x Emerald,20,0.06%
Orange Hat,Simplehats,20 x Emerald,20,0.06%
Penguinhat,Simplehats,20 x Emerald,20,0.06%
Plaguedoctor,Simplehats,20 x Emerald,20,0.06%
Questbook,Simplehats,20 x Emerald,20,0.06%
Rednose,Simplehats,20 x Emerald,20,0.06%
Redstache,Simplehats,20 x Emerald,20,0.06%
Rock,Simplehats,20 x Emerald,20,0.06%
Shakehat,Simplehats,20 x Emerald,20,0.06%
Shrekears,Simplehats,20 x Emerald,20,0.06%
Shroomcap,Simplehats,20 x Emerald,20,0.06%
Sport Sunglasses,Simplehats,20 x Emerald,20,0.06%
Springer,Simplehats,20 x Emerald,20,0.06%
Spyzombie,Simplehats,20 x Emerald,20,0.06%
Strawberry Hat,Simplehats,20 x Emerald,20,0.06%
Tinkerhat,Simplehats,20 x Emerald,20,0.06%
Toptophathat,Simplehats,20 x Emerald,20,0.06%
Toy Story Alien,Simplehats,20 x Emerald,20,0.06%
Unicornhorn,Simplehats,20 x Emerald,20,0.06%
Worms Mine,Simplehats,20 x Emerald,20,0.06%
Aegishat,Simplehats,32 x Emerald,32,0.08%
Alienphil,Simplehats,32 x Emerald,32,0.08%
Azumanga Hat,Simplehats,32 x Emerald,32,0.08%
Baseballhatfestive,Simplehats,32 x Emerald,32,0.08%
Bluefireeye,Simplehats,32 x Emerald,32,0.08%
Bunnyhat,Simplehats,32 x Emerald,32,0.08%
Camera,Simplehats,32 x Emerald,32,0.08%
Candleonhead,Simplehats,32 x Emerald,32,0.08%
Clockface,Simplehats,32 x Emerald,32,0.08%
Dejiko,Simplehats,32 x Emerald,32,0.08%
Demoneyes,Simplehats,32 x Emerald,32,0.08%
Demonhorns,Simplehats,32 x Emerald,32,0.08%
Digger,Simplehats,32 x Emerald,32,0.08%
Dragonskullender,Simplehats,32 x Emerald,32,0.08%
Eggonhead,Simplehats,32 x Emerald,32,0.08%
Fakefire,Simplehats,32 x Emerald,32,0.08%
Festiveribbon,Simplehats,32 x Emerald,32,0.08%
Fishonhead,Simplehats,32 x Emerald,32,0.08%
Flagjuly,Simplehats,32 x Emerald,32,0.08%
Floatinghearts,Simplehats,32 x Emerald,32,0.08%
Floatingstar,Simplehats,32 x Emerald,32,0.08%
Flowercrown,Simplehats,32 x Emerald,32,0.08%
Floweronhead,Simplehats,32 x Emerald,32,0.08%
Foxhat,Simplehats,32 x Emerald,32,0.08%
Hockeymask,Simplehats,32 x Emerald,32,0.08%
Holyhead,Simplehats,32 x Emerald,32,0.08%
Hosthat,Simplehats,32 x Emerald,32,0.08%
Julydouble,Simplehats,32 x Emerald,32,0.08%
Lightning Eyes,Simplehats,32 x Emerald,32,0.08%
Madscientist,Simplehats,32 x Emerald,32,0.08%
Milady Doll,Simplehats,32 x Emerald,32,0.08%
Mistletoe,Simplehats,32 x Emerald,32,0.08%
Murdered,Simplehats,32 x Emerald,32,0.08%
Paypay,Simplehats,32 x Emerald,32,0.08%
Penguinbaby,Simplehats,32 x Emerald,32,0.08%
Peppino,Simplehats,32 x Emerald,32,0.08%
Pinhead,Simplehats,32 x Emerald,32,0.08%
Policesiren,Simplehats,32 x Emerald,32,0.08%
Propelhat,Simplehats,32 x Emerald,32,0.08%
Puchiko,Simplehats,32 x Emerald,32,0.08%
Rabbitears,Simplehats,32 x Emerald,32,0.08%
Rabbitonhead,Simplehats,32 x Emerald,32,0.08%
Redeyes,Simplehats,32 x Emerald,32,0.08%
Santaclaus,Simplehats,32 x Emerald,32,0.08%
Seaweedhat,Simplehats,32 x Emerald,32,0.08%
Simsgem,Simplehats,32 x Emerald,32,0.08%
Smokingpipe,Simplehats,32 x Emerald,32,0.08%
Snowmanbaby,Simplehats,32 x Emerald,32,0.08%
Sonichood,Simplehats,32 x Emerald,32,0.08%
Spadesoldier,Simplehats,32 x Emerald,32,0.08%
Stress,Simplehats,32 x Emerald,32,0.08%
Sunglasses,Simplehats,32 x Emerald,32,0.08%
Sunglassesbig,Simplehats,32 x Emerald,32,0.08%
Supersandhat,Simplehats,32 x Emerald,32,0.08%
The Noise,Simplehats,32 x Emerald,32,0.08%
Topcathat,Simplehats,32 x Emerald,32,0.08%
Vikinghatbeard,Simplehats,32 x Emerald,32,0.08%
Winghat,Simplehats,32 x Emerald,32,0.08%
Zigzagwitchhat,Simplehats,32 x Emerald,32,0.08%
Standard,Travelersbackpack,32 x Emerald,32,0.08%
Magic Bag 2,Wands,32 x Emerald,32,0.08%
Amalgalichhat,Simplehats,48 x Emerald,48,0.10%
Artsy,Simplehats,48 x Emerald,48,0.10%
Artsy Doll,Simplehats,48 x Emerald,48,0.10%
Babydolphin,Simplehats,48 x Emerald,48,0.10%
Babyturtle,Simplehats,48 x Emerald,48,0.10%
Bandanargb,Simplehats,48 x Emerald,48,0.10%
Baseballhatrgb,Simplehats,48 x Emerald,48,0.10%
Batwinghat,Simplehats,48 x Emerald,48,0.10%
Beaniergb,Simplehats,48 x Emerald,48,0.10%
Beehat,Simplehats,48 x Emerald,48,0.10%
Burning M Bison,Simplehats,48 x Emerald,48,0.10%
Christmascakehat,Simplehats,48 x Emerald,48,0.10%
Christmastree,Simplehats,48 x Emerald,48,0.10%
Cowboyrgb,Simplehats,48 x Emerald,48,0.10%
Crabonhead,Simplehats,48 x Emerald,48,0.10%
Discoball,Simplehats,48 x Emerald,48,0.10%
Egghead,Simplehats,48 x Emerald,48,0.10%
Fakeblight,Simplehats,48 x Emerald,48,0.10%
Festiveantlers,Simplehats,48 x Emerald,48,0.10%
Fireworks,Simplehats,48 x Emerald,48,0.10%
Fishing Hat,Simplehats,48 x Emerald,48,0.10%
Ghostmask,Simplehats,48 x Emerald,48,0.10%
Greenbirb,Simplehats,48 x Emerald,48,0.10%
Headphonesblue,Simplehats,48 x Emerald,48,0.10%
Jackohat,Simplehats,48 x Emerald,48,0.10%
Kirbymouthful,Simplehats,48 x Emerald,48,0.10%
Magikarp,Simplehats,48 x Emerald,48,0.10%
Nyan Doll,Simplehats,48 x Emerald,48,0.10%
Palmtree,Simplehats,48 x Emerald,48,0.10%
Pohatoe,Simplehats,48 x Emerald,48,0.10%
Poofballrgb,Simplehats,48 x Emerald,48,0.10%
Potionhead,Simplehats,48 x Emerald,48,0.10%
Presentsstack,Simplehats,48 x Emerald,48,0.10%
Rainboworbiters,Simplehats,48 x Emerald,48,0.10%
Raincloud,Simplehats,48 x Emerald,48,0.10%
Rgbbigribbon,Simplehats,48 x Emerald,48,0.10%
Rgbbowler,Simplehats,48 x Emerald,48,0.10%
Rgbdragonskull,Simplehats,48 x Emerald,48,0.10%
Rgbdrinkinhat,Simplehats,48 x Emerald,48,0.10%
Rgbeasterhead,Simplehats,48 x Emerald,48,0.10%
Rgbfullhelm,Simplehats,48 x Emerald,48,0.10%
Rgbpartyhat,Simplehats,48 x Emerald,48,0.10%
Rgbsmallbowler,Simplehats,48 x Emerald,48,0.10%
Rgbsunglasses,Simplehats,48 x Emerald,48,0.10%
Rgbtoptophathat,Simplehats,48 x Emerald,48,0.10%
Rgbushanka,Simplehats,48 x Emerald,48,0.10%
